property_name,Estate_name,property_address,property_location
Serviced 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 1 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
1 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed Townhouse with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 3 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed Villa with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Office,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
"4,500 ft Office with Service Charge Included",Westlands Area,Westlands Area- Westlands,Nairobi Westlands
2 Bed Apartment,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
